Period,Provider_Code,Count_Join_Key,Sum_TotalCost,POD,HRG_Episode,TFC,EpType_Code,DATASET
FY2020-21,R1H,*,231.0753555,NEL,UZ01Z,315,1,PL_APC
FY2020-21,RTG,*,6830.060979,NEL,LA07L,315,1,PL_APC
FY2020-21,RHW,*,242.4668845,NES,AA22E,192,1,PL_APC
FY2020-21,RTK,*,13046.83641,NEL,FD01C,104,2,PL_APC
FY2020-21,RXH,*,11484.82397,EL,AA24C,150,1,PL_APC
FY2020-21,RTD,*,51417.86538,NEL,SA40Z,308,1,PL_APC
FY2020-21,R1K,*,1340.301782,NES,HC27N,300,2,PL_APC
FY2020-21,RAE,*,15556.33159,NEL,UZ01Z,329,2,PL_APC
FY2020-21,REM,*,494.4485426,NEL,DZ11S,305,2,PL_APC
FY2020-21,RNN,*,9825.144773,NEL,DX01A,107,1,PL_APC
FY2020-21,RJ1,*,179541.7635,NEL,UZ01Z,221,2,PL_APC
FY2020-21,RTD,*,568.2459783,NEL,AA35B,328,1,PL_APC
FY2020-21,RC9,*,24627.91324,NEL,VA15C,140,2,PL_APC
FY2020-21,RWF,*,1396.732566,NEL,NZ31C,560,1,PL_APC
FY2020-21,RK9,*,4736.440862,NEL,VA10C,150,2,PL_APC
FY2020-21,RJZ,*,2267.2987,NEL,DZ11L,307,1,PL_APC
FY2020-21,RP4,*,482185.1965,NEL,UZ01Z,251,1,PL_APC
FY2020-21,RRK,*,4762.359519,NES,AA35C,328,1,PL_APC
FY2020-21,RJE,*,9509.907184,NEL,NZ31B,501,1,PL_APC
FY2020-21,RGT,*,31607.71625,EL,GA03D,105,2,PL_APC
FY2020-21,RYJ,*,16454.80287,EL,SA07G,308,1,PL_APC
FY2020-21,RH5,*,1897.027447,NES,YQ10A,107,1,PL_APC
FY2020-21,R0A,*,6336.43862,EL,DX01A,174,1,PL_APC
FY2020-21,RVV,*,100.3159017,NEL,PL70B,420,2,PL_APC
FY2020-21,RFS,*,774.576035,NES,HC72A,340,1,PL_APC
FY2020-21,RM1,*,4793.589919,EL,PW16D,258,2,PL_APC
FY2020-21,R0A,*,11885.05961,EL,DZ01Z,174,1,PL_APC
FY2020-21,R1H,*,281.0566792,NEL,SA44A,502,2,PL_APC
FY2020-21,RQ3,*,7074.074951,EL,UZ01Z,221,2,PL_APC
FY2020-21,RR8,*,3797.551197,EL,UZ01Z,410,2,PL_APC
FY2020-21,RBS,*,18103.24506,EL,FF35A,171,2,PL_APC
FY2020-21,RJ1,*,4520.3877,NES,UZ01Z,422,2,PL_APC
FY2020-21,RVV,*,707.4605231,EL,CB01E,190,1,PL_APC
FY2020-21,R0A,*,865.7013411,NES,JD07F,430,2,PL_APC
FY2020-21,RR8,*,16373.45341,NEL,ED12B,221,1,PL_APC
FY2020-21,R0A,*,13371.24751,EL,DZ19J,174,1,PL_APC
FY2020-21,RRK,*,1620.352084,EL,AA53C,150,1,PL_APC
FY2020-21,R0A,*,69299.01874,EL,PM40A,253,1,PL_APC
FY2020-21,RRV,*,26258.05381,EL,WD07Z,710,1,PL_APC
FY2020-21,RP4,*,23456.14141,EL,LB60C,211,2,PL_APC
FY2020-21,REM,*,9098.583227,NEL,EB14B,102,2,PL_APC
FY2020-21,RHW,*,20.91275848,NES,DZ11Q,192,1,PL_APC
FY2020-21,RM3,*,10708.66628,EL,AA53A,150,1,PL_APC
